Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 2,Sah Tah Spring,3/17/99,109 17 32.172,36 52 28.2744,More Risk,31.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),57.9,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),7.9,No (Below 50 micrograms/liter),0.076,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),11.7,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),5.6,No (Below 260 micrograms/liter),3.5,"No (Below 5,000 micrograms/liter)",45.4,Yes (Above 15 pico-curies/liter),16,No (Below 50 pico-curies/liter),0.59,Yes (Above 0.047 pico-curies/liter),0.104,No (Below 5 Pico-curies per Liter),0.603,No (Below 5 pico-curies/liter),0.007,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),26.1,Yes (Above 20 pico-curies/liter),0.825,No (Below 20 pico-curies/liter),18.9,No (Below 20 pico-curies/liter)
Section 2,9T-501,3/17/99,109 15 2.5470,36 55 1.96078,Some Risk,28.4,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),58.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",174,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),34.6,No (Below 50 micrograms/liter),0.074,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0.8,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0.6,No (Below 260 micrograms/liter),196,"No (Below 5,000 micrograms/liter)",8.94,No (Below 15 pico-curies/liter),3.82,No (Below 50 pico-curies/liter),0.48,Yes (Above 0.047 pico-curies/liter),1.06,No (Below 5 Pico-curies per Liter),0.378,No (Below 5 pico-curies/liter),0.01,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),5.28,No (Below 20 pico-curies/liter),0.038,No (Below 20 pico-curies/liter),1.33,No (Below 20 pico-curies/liter)
Section 7,Tank 8Al-3,9/23/98,110 13 51.923,37 2 32.83681,Some Risk,246,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.3,No (Below 50 micrograms/liter),6.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),5,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",139,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),7.7,No (Below 50 micrograms/liter),0.12,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),13.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4,Yes (Above 2 micrograms/liter),7.5,No (Below 260 micrograms/liter),346,"No (Below 5,000 micrograms/liter)",10.3,No (Below 15 pico-curies/liter),17.9,No (Below 50 pico-curies/liter),0.32,Yes (Above 0.047 pico-curies/liter),0.379,No (Below 5 Pico-curies per Liter),0.946,No (Below 5 pico-curies/liter),0.023,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0.045,No (Below 1.5 pico-curies/liter),10.3,No (Below 20 pico-curies/liter),0.347,No (Below 20 pico-curies/liter),4.56,No (Below 20 pico-curies/liter)
Section 2,Benally Spring,12/1/99,109 5 47.37,36 35 44.43,Less Risk,31,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),0,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",0.4,No (Below 15 pico-curies/liter),-3.5,No (Below 50 pico-curies/liter),-3.2,No (Below 0.047 pico-curies/liter),-0.1,No (Below 5 Pico-curies per Liter),-0.4,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),0.5,No (Below 20 pico-curies/liter),0.2,No (Below 20 pico-curies/liter),0.5,No (Below 20 pico-curies/liter)
Section 7,Kee Mi Kay Spring,10/9/98,110 11 1.5587,36 40 23.9987,Some Risk,100,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),39,"No (Below 1,000 micrograms/liter)",0.5,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.099,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),13.9,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),11.2,No (Below 260 micrograms/liter),59.3,"No (Below 5,000 micrograms/liter)",12,No (Below 15 pico-curies/liter),7.7,No (Below 50 pico-curies/liter),2.33,Yes (Above 0.047 pico-curies/liter),0.4,No (Below 5 Pico-curies per Liter),0.183,No (Below 5 pico-curies/liter),0.015,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),5.83,No (Below 20 pico-curies/liter),0.302,No (Below 20 pico-curies/liter),3.98,No (Below 20 pico-curies/liter)
Section 7,Tank 8A-138,10/9/98,110 9 7.85638,36 41 34.7219,Some Risk,318,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),5.7,No (Below 50 micrograms/liter),10.4,"No (Below 1,000 micrograms/liter)",0.6,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),4.3,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",1280,Yes (Above 300 micrograms/liter),7.5,No (Below 15 micrograms/liter),18.7,No (Below 50 micrograms/liter),0.12,No (Below 2 micrograms/liter),2,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),2.9,Yes (Above 2 micrograms/liter),66.4,No (Below 260 micrograms/liter),38,"No (Below 5,000 micrograms/liter)",1.4,No (Below 15 pico-curies/liter),3.01,No (Below 50 pico-curies/liter),0.19,Yes (Above 0.047 pico-curies/liter),0.044,No (Below 5 Pico-curies per Liter),-0.017,No (Below 5 pico-curies/liter),-0.001,No (Below 0.21 pico-curies/liter),0.009,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.91,No (Below 20 pico-curies/liter),0.047,No (Below 20 pico-curies/liter),1.05,No (Below 20 pico-curies/liter)
Section 7,Baby Rock Spring 8-44,9/1/98,110 3 13.2743,36 44 49.6547,More Risk,4790,"Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),5.4,No (Below 50 micrograms/liter),81.6,"No (Below 1,000 micrograms/liter)",0.3,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),3.8,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",1440,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),28.8,No (Below 50 micrograms/liter),0.074,No (Below 2 micrograms/liter),1.6,No (Below 730 micrograms/liter),957,Yes (Above 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.3,Yes (Above 2 micrograms/liter),481,Yes (Above 260 micrograms/liter),19.3,"No (Below 5,000 micrograms/liter)",27.1,Yes (Above 15 pico-curies/liter),14.5,No (Below 50 pico-curies/liter),0.83,Yes (Above 0.047 pico-curies/liter),0.093,No (Below 5 Pico-curies per Liter),0.075,No (Below 5 pico-curies/liter),-0.011,No (Below 0.21 pico-curies/liter),-0.002,No (Below 1.3 pico-curies/liter),-0.002,No (Below 1.5 pico-curies/liter),18.4,No (Below 20 pico-curies/liter),0.687,No (Below 20 pico-curies/liter),17.2,No (Below 20 pico-curies/liter)
Section 7,Kayenta Chapter House,10/9/98,110 15 17.050,36 43 27.9336,Some Risk,88,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.6,No (Below 50 micrograms/liter),43.5,"No (Below 1,000 micrograms/liter)",0.6,No (Below 4 micrograms/liter),0.4,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),33.7,"No (Below 1,300 micrograms/liter)",436,Yes (Above 300 micrograms/liter),2.1,No (Below 15 micrograms/liter),12,No (Below 50 micrograms/liter),0.13,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.3,No (Below 260 micrograms/liter),315,"No (Below 5,000 micrograms/liter)",3.88,No (Below 15 pico-curies/liter),4.14,No (Below 50 pico-curies/liter),0.69,Yes (Above 0.047 pico-curies/liter),0.058,No (Below 5 Pico-curies per Liter),0.272,No (Below 5 pico-curies/liter),-0.021,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.98,No (Below 20 pico-curies/liter),0.081,No (Below 20 pico-curies/liter),1.17,No (Below 20 pico-curies/liter)
Section 7,Tank 2K-305,8/31/98,110 34 29.954,36 46 41.8019,Some Risk,57.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),98.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.4,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),2.7,No (Below 50 micrograms/liter),0.067,No (Below 2 micrograms/liter),1.6,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),1.1,No (Below 260 micrograms/liter),1240,"No (Below 5,000 micrograms/liter)",1.77,No (Below 15 pico-curies/liter),2.35,No (Below 50 pico-curies/liter),2.68,Yes (Above 0.047 pico-curies/liter),0.07,No (Below 5 Pico-curies per Liter),0.353,No (Below 5 pico-curies/liter),-0.023,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),-0.003,No (Below 1.5 pico-curies/liter),0.5,No (Below 20 pico-curies/liter),-0.003,No (Below 20 pico-curies/liter),-0.01,No (Below 20 pico-curies/liter)
Section 7,Aspen Spring,8/31/98,110 31 8.1977,36 48 26.5362,Some Risk,43.4,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),11.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),18.9,No (Below 100 micrograms/liter),29.2,"No (Below 1,300 micrograms/liter)",163,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.4,No (Below 50 micrograms/liter),0.07,No (Below 2 micrograms/liter),11.1,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0.7,No (Below 260 micrograms/liter),78.3,"No (Below 5,000 micrograms/liter)",0.27,No (Below 15 pico-curies/liter),1.36,No (Below 50 pico-curies/liter),0.74,Yes (Above 0.047 pico-curies/liter),0.074,No (Below 5 Pico-curies per Liter),0.212,No (Below 5 pico-curies/liter),0.009,No (Below 0.21 pico-curies/liter),0.006,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),-0.01,No (Below 20 pico-curies/liter),0.037,No (Below 20 pico-curies/liter),-0.02,No (Below 20 pico-curies/liter)
Section 7,Ramp Spring,9/9/98,110 22 7.0776,36 56 53.3940,Some Risk,53.3,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),154,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.076,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),9,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),10.2,No (Below 260 micrograms/liter),9.9,"No (Below 5,000 micrograms/liter)",4.53,No (Below 15 pico-curies/liter),9.2,No (Below 50 pico-curies/liter),0.62,Yes (Above 0.047 pico-curies/liter),0.124,No (Below 5 Pico-curies per Liter),0.016,No (Below 5 pico-curies/liter),-0.006,No (Below 0.21 pico-curies/liter),0.01,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.94,No (Below 20 pico-curies/liter),0.078,No (Below 20 pico-curies/liter),2.09,No (Below 20 pico-curies/liter)
Section 7,8A-P.H.S.-22 Spring,9/23/98,110 15 55.235,36 51 16.8480,Less Risk,88.6,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),86.8,"No (Below 1,000 micrograms/liter)",0.6,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.062,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),5.6,"No (Below 5,000 micrograms/liter)",1.95,No (Below 15 pico-curies/liter),4.87,No (Below 50 pico-curies/liter),0.62,Yes (Above 0.047 pico-curies/liter),0.272,No (Below 5 Pico-curies per Liter),0.533,No (Below 5 pico-curies/liter),0.017,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.13,No (Below 20 pico-curies/liter),-0.017,No (Below 20 pico-curies/liter),1.57,No (Below 20 pico-curies/liter)
Section 7,Well 8T-525,9/23/98,110 18 22.740,36 56 19.8743,Some Risk,2250,"Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),5,No (Below 50 micrograms/liter),151,"No (Below 1,000 micrograms/liter)",0.3,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",949,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),39.1,No (Below 50 micrograms/liter),0.068,No (Below 2 micrograms/liter),1.8,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),18.7,No (Below 260 micrograms/liter),9.9,"No (Below 5,000 micrograms/liter)",1.59,No (Below 15 pico-curies/liter),10.1,No (Below 50 pico-curies/liter),0.42,Yes (Above 0.047 pico-curies/liter),0.092,No (Below 5 Pico-curies per Liter),0.511,No (Below 5 pico-curies/liter),0.075,No (Below 0.21 pico-curies/liter),0.024,No (Below 1.3 pico-curies/liter),0.024,No (Below 1.5 pico-curies/liter),1.16,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),0.52,No (Below 20 pico-curies/liter)
Section 7,Tank 8K-402,9/2/98,110 12 29.139,36 57 16.0674,Some Risk,80.2,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),61.9,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),27.9,"No (Below 1,300 micrograms/liter)",185,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.8,No (Below 50 micrograms/liter),0.078,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),9.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),6,No (Below 260 micrograms/liter),53.5,"No (Below 5,000 micrograms/liter)",1.59,No (Below 15 pico-curies/liter),5.13,No (Below 50 pico-curies/liter),0.61,Yes (Above 0.047 pico-curies/liter),0.08,No (Below 5 Pico-curies per Liter),0.217,No (Below 5 pico-curies/liter),0.015,No (Below 0.21 pico-curies/liter),-0.002,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.92,No (Below 20 pico-curies/liter),-0.003,No (Below 20 pico-curies/liter),0.48,No (Below 20 pico-curies/liter)
Section 7,Shallow Well El Capitan ,9/9/98,110 19 48.964,36 58 15.2357,Some Risk,73.3,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),45.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),2.8,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.6,No (Below 50 micrograms/liter),0.072,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.4,No (Below 260 micrograms/liter),49.2,"No (Below 5,000 micrograms/liter)",8.41,No (Below 15 pico-curies/liter),7.47,No (Below 50 pico-curies/liter),1.12,Yes (Above 0.047 pico-curies/liter),0.127,No (Below 5 Pico-curies per Liter),0.208,No (Below 5 pico-curies/liter),0.008,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),6.29,No (Below 20 pico-curies/liter),0.125,No (Below 20 pico-curies/liter),4.19,No (Below 20 pico-curies/liter)
Section 7,Truck Cab Spring,9/21/98,110 19 36.643,37 0 19.27800,Some Risk,683,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),32.3,"No (Below 1,000 micrograms/liter)",0.1,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",651,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),39.8,No (Below 50 micrograms/liter),0.13,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.1,Yes (Above 2 micrograms/liter),3.6,No (Below 260 micrograms/liter),23.9,"No (Below 5,000 micrograms/liter)",19.8,Yes (Above 15 pico-curies/liter),10.8,No (Below 50 pico-curies/liter),0.57,Yes (Above 0.047 pico-curies/liter),0.052,No (Below 5 Pico-curies per Liter),0.333,No (Below 5 pico-curies/liter),0.031,No (Below 0.21 pico-curies/liter),0.021,No (Below 1.3 pico-curies/liter),0.017,No (Below 1.5 pico-curies/liter),11.3,No (Below 20 pico-curies/liter),0.244,No (Below 20 pico-curies/liter),7.13,No (Below 20 pico-curies/liter)
Section 7,Moonlight Water,9/21/98,110 18 30.982,37 1 21.65761,Less Risk,97.7,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),211,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",118,No (Below 300 micrograms/liter),2,No (Below 15 micrograms/liter),23.2,No (Below 50 micrograms/liter),0.17,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),27.6,"No (Below 5,000 micrograms/liter)",4.15,No (Below 15 pico-curies/liter),6.59,No (Below 50 pico-curies/liter),0.28,Yes (Above 0.047 pico-curies/liter),0.172,No (Below 5 Pico-curies per Liter),0.604,No (Below 5 pico-curies/liter),0.004,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.24,No (Below 20 pico-curies/liter),0.146,No (Below 20 pico-curies/liter),1.85,No (Below 20 pico-curies/liter)
Section 7,Monument Valley High School,9/22/98,110 10 42.511,37 0 20.16539,Some Risk,82,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),282,"No (Below 1,000 micrograms/liter)",0.3,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),119,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),4.2,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.13,No (Below 2 micrograms/liter),2.7,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.6,No (Below 260 micrograms/liter),30.5,"No (Below 5,000 micrograms/liter)",1.14,No (Below 15 pico-curies/liter),2.25,No (Below 50 pico-curies/liter),0.33,Yes (Above 0.047 pico-curies/liter),0.099,No (Below 5 Pico-curies per Liter),0.864,No (Below 5 pico-curies/liter),0.027,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),0.97,No (Below 20 pico-curies/liter),0.037,No (Below 20 pico-curies/liter),0.58,No (Below 20 pico-curies/liter)
Section 3,Open Pit Mine,7/22/98,111 24 4.0187,35 54 18.9744,More Risk,"82,500","Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),29.8,No (Below 50 micrograms/liter),"1,150.00","Yes (Above 1,000 micrograms/liter)",5,Yes (Above 4 micograms/liter),0.9,No (Below 5 micrograms/liter),14.4,No (Below 100 micrograms/liter),89,"No (Below 1,300 micrograms/liter)","26,400",Yes (Above 300 micrograms/liter),38,Yes (Above 15 micrograms/liter),709,Yes (Above 50 micrograms/liter),0.16,No (Below 2 micrograms/liter),17.4,No (Below 730 micrograms/liter),3.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),125,No (Below 260 micrograms/liter),88.3,"No (Below 5,000 micrograms/liter)",135,Yes (Above 15 pico-curies/liter),125,Yes (Above 50 pico-curies/liter),9.38,Yes (Above 0.047 pico-curies/liter),7.12,Yes (Above 5 Pico-curies per Liter),3.23,No (Below 5 pico-curies/liter),2.51,Yes (Above 0.21 pico-curies/liter),3.41,Yes (Above 1.3 pico-curies/liter),1.56,Yes (Above 1.5 pico-curies/liter),27.4,Yes (Above 20 pico-curies/liter),1.03,No (Below 20 pico-curies/liter),22.5,Yes (Above 20 pico-curies/liter)
Section 2,Cove Mesa 2,10/20/99,109 14 9.0023,36 30 39.2501,More Risk,434,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),82.8,Yes (Above 50 micrograms/liter),55.1,"No (Below 1,000 micrograms/liter)",0.6,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0.8,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",189,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),5.6,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),846,Yes (Above 50 micrograms/liter),0,No (Below 100 micrograms/liter),18,Yes (Above 2 micrograms/liter),2550,Yes (Above 260 micrograms/liter),3.8,"No (Below 5,000 micrograms/liter)",1020,Yes (Above 15 pico-curies/liter),405,Yes (Above 50 pico-curies/liter),9.83,Yes (Above 0.047 pico-curies/liter),15,Yes (Above 5 Pico-curies per Liter),0.608,No (Below 5 pico-curies/liter),-0.058,No (Below 0.21 pico-curies/liter),0.439,No (Below 1.3 pico-curies/liter),0.01,No (Below 1.5 pico-curies/liter),449,Yes (Above 20 pico-curies/liter),18,No (Below 20 pico-curies/liter),412,Yes (Above 20 pico-curies/liter)
Section 2,Pipe Mine,10/19/99,109 15 13.338,36 31 58.7874,More Risk,378,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),105,Yes (Above 50 micrograms/liter),122,"No (Below 1,000 micrograms/liter)",3,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",143,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.5,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),1460,Yes (Above 50 micrograms/liter),1.8,No (Below 100 micrograms/liter),44,Yes (Above 2 micrograms/liter),15600,Yes (Above 260 micrograms/liter),7.1,"No (Below 5,000 micrograms/liter)",99.1,Yes (Above 15 pico-curies/liter),39.8,No (Below 50 pico-curies/liter),11.7,Yes (Above 0.047 pico-curies/liter),14.4,Yes (Above 5 Pico-curies per Liter),0.636,No (Below 5 pico-curies/liter),0.082,No (Below 0.21 pico-curies/liter),0.116,No (Below 1.3 pico-curies/liter),-0.005,No (Below 1.5 pico-curies/liter),36.3,Yes (Above 20 pico-curies/liter),2.25,No (Below 20 pico-curies/liter),28.9,Yes (Above 20 pico-curies/liter)
